Segment,Start,End,NGS_read_count,ACC_num,Resolution,Cells,Context,MOI,Time,Compartment,Replicate
PA,524,1841,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,539,1547,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,546,1221,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,549,1990,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,554,1752,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,565,1576,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,581,1635,3,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,629,1861,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,669,1884,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,726,1645,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PA,986,1204,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
HA,106,1487,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
HA,1546,1581,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
HA,218,1430,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
HA,25,1637,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
HA,286,1281,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
HA,368,1327,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
HA,369,1345,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
HA,369,1580,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
HA,88,1750,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,1014,1047,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,1076,1112,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,113,1541,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,137,1544,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,138,1544,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,139,1355,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,139,1543,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,139,1544,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,140,1541,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,151,1542,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,153,1342,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,164,1542,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,218,1277,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,237,1245,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,241,1541,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,272,1543,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,272,1544,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,274,1277,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,276,1544,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,296,531,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,29,1541,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,338,1541,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,387,1547,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,38,1541,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,41,1540,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,42,1544,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,475,933,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,47,1541,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,78,1543,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,79,1540,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,80,1542,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,817,1183,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,831,1417,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,83,1541,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,89,1541,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,90,1541,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,92,1542,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NP,93,1541,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NA,105,1030,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NA,144,190,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NA,149,1066,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NA,175,1091,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NA,198,292,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NA,206,1176,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NA,217,993,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NA,25,1278,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NA,344,793,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NA,348,691,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NA,375,972,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NA,438,945,3,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NA,452,1244,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NA,541,1086,3,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NA,569,791,3,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NA,62,1384,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NA,686,1394,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NA,707,1170,2,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
M,285,936,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
M,326,667,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
M,512,667,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NS,105,866,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NS,110,673,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NS,147,704,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NS,186,711,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NS,198,606,2,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NS,203,866,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NS,206,599,8,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NS,212,696,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NS,215,644,2,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NS,259,868,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NS,263,799,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NS,297,774,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NS,31,589,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NS,356,516,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NS,59,867,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
NS,85,868,1,SRR10530642,bulk,MDCK,in vitro,10,12hpi,extracellular,1
PB2,107,2152,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,108,2140,2,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,109,2152,2,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,112,2142,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,1158,1267,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,116,2140,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,118,2153,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,120,2140,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,122,2172,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,1242,1344,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,127,2140,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,128,2152,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,139,1961,2,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,139,2159,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,143,2139,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,144,2094,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,1466,2316,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,147,2081,2,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,147,2100,2,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,148,2137,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,150,181,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,150,2207,4,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,1515,2224,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,151,2140,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,152,1912,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,152,2139,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,152,2203,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,152,2204,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,156,2139,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,157,2141,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,159,1993,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,159,2195,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,160,1956,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,161,2026,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,161,2077,3,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,162,2046,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,162,2090,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,162,2109,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,163,192,3,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,163,2152,3,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,166,2135,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,168,2121,3,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,170,2104,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,171,2168,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,171,2195,4,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,173,2087,4,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,175,2100,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,175,2247,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,177,1940,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,177,2042,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,177,2086,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,180,2087,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,180,2089,3,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,181,2142,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,184,2077,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,189,2236,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,191,2203,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,1938,2090,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,195,1993,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,195,2078,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,195,2093,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,195,2212,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,196,1626,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,197,2041,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,199,227,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,201,1985,3,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,202,2083,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,204,2139,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,207,2140,3,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,209,2097,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,210,2154,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,212,1498,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,2132,2164,2,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,215,1572,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,216,1969,2,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,216,2139,4,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,216,2164,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,2176,2198,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,217,1976,2,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,220,2042,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,220,250,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,222,2018,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,225,1865,2,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,225,2121,2,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,227,2041,2,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,230,1992,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,232,1991,2,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,232,2045,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,233,1656,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,235,1901,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,238,1976,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,242,2070,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,246,2172,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,248,2026,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,251,2091,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,252,1976,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,253,1908,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,256,1887,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,258,1975,2,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,259,1994,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,25,85,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,262,2107,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,263,2186,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,264,2085,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,267,1933,4,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,271,2048,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,272,1877,2,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,272,2071,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,273,2089,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,274,1946,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,274,2045,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,275,1969,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,275,2015,3,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,276,1861,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,287,1975,2,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,294,2026,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,295,1923,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,297,2027,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,304,1935,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,305,2011,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,308,1802,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,308,2091,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,314,2097,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,317,1880,5,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,318,1916,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,318,1922,2,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,318,2012,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,319,1992,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,320,1948,2,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,321,1922,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,323,2138,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,324,1921,4,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,325,1887,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,327,1887,4,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,328,1969,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,328,350,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,329,1778,3,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,329,1794,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,329,1917,3,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,329,1921,2,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,332,1864,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,332,2016,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,338,1970,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,341,2161,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,343,1834,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,368,1963,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,376,1793,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,380,1793,5,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,380,1937,3,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,380,403,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,382,1802,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,383,2171,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,386,1793,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,387,1820,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,395,1928,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,396,2315,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,402,1741,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,402,1793,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,407,1793,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,409,1846,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,418,1963,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,428,1752,3,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,428,1867,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,431,1759,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,436,1728,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,449,1678,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,449,1738,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,449,1766,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,450,1793,2,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,451,1686,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,451,1756,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,453,1687,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,453,1936,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,462,2320,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,463,1921,5,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,467,1759,3,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,467,1768,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,467,1790,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,468,1793,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,470,1748,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,470,1750,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,470,1878,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,475,1814,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,479,1727,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,482,1739,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,490,1733,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,491,2213,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,495,1691,2,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,495,1721,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,496,1803,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,497,1801,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,504,1824,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,514,1648,2,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,519,1789,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,535,1733,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,537,1763,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,561,1890,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,562,1766,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,564,1789,2,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,582,1651,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,583,1749,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,586,1677,2,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,595,1673,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,598,1665,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,610,1643,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,622,1732,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,643,1593,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,653,1950,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,667,1650,3,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
PB2,66,1895,1,SRR10530643,bulk,MDCK,in vitro,10,12hpi,extracellular,2
